month_start,signed_return_value_gbp,absolute_return_value_gbp,return_lines,returned_units
2009-12-01,-25835.45,25835.45,1103,25771
2010-01-01,-28675.61,28675.61,814,20724
2010-02-01,-20239.36,20239.36,1023,24361
2010-03-01,-67668.02,67668.02,1031,42302
2010-04-01,-37354.2,37354.2,701,35270
2010-05-01,-44434.78,44434.78,1350,61238
2010-06-01,-72463.44,72463.44,930,27276
2010-07-01,-31444.79,31444.79,822,57415
2010-08-01,-40477.52,40477.52,664,70987
2010-09-01,-70591.03,70591.03,900,115807
2010-10-01,-81290.74,81290.74,1155,22620
2010-11-01,-47595.94,47595.94,1417,59847
2010-12-01,-74729.12,74729.12,789,20056
2011-01-01,-131363.05000000002,131363.05000000002,796,88749
2011-02-01,-25519.15,25519.15,518,8700
2011-03-01,-34201.28,34201.28,830,32858
2011-04-01,-44600.65,44600.65,744,23077
2011-05-01,-47202.51,47202.51,738,19034
2011-06-01,-70569.78,70569.78,816,52688
2011-07-01,-37919.13,37919.13,801,16422
2011-08-01,-54330.8,54330.8,717,18816
2011-09-01,-38838.51,38838.51,899,25500
2011-10-01,-81895.5,81895.5,1340,56624
2011-11-01,-47720.979999999996,47720.979999999996,1210,31286
2011-12-01,-205089.27000000002,205089.27000000002,389,88707
